[2020-12-13 02:51:45] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:37 
[2020-12-13 02:51:45] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:45] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:64 
[2020-12-13 02:51:45] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:45] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:47 
[2020-12-13 02:51:45] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:45] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:6 
[2020-12-13 02:51:45] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:45] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:46 
[2020-12-13 02:51:45] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:45] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:30 
[2020-12-13 02:51:45] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:45] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:36 
[2020-12-13 02:51:45] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:45] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:55 
[2020-12-13 02:51:45] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:45] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:36 
[2020-12-13 02:51:45] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:45] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:19 
[2020-12-13 02:51:45] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:45] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:29 
[2020-12-13 02:51:45] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:45] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:54 
[2020-12-13 02:51:45] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:45] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:45 
[2020-12-13 02:51:45] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:45] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:13 
[2020-12-13 02:51:45] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:46] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:5 
[2020-12-13 02:51:46] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:46] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:63 
[2020-12-13 02:51:46] [INFO   ] UNCHOKE Message construction in progress 
[2020-12-13 02:51:46] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:46] [INFO   ] Peer 1006 with preferred neighbours:[1007] 
[2020-12-13 02:51:46] [INFO   ] Peer: 1006 received the 'request' message from Peer: 1007 for the pieceIndex: 62 
[2020-12-13 02:51:46] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:46] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:28 
[2020-12-13 02:51:46] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:46] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:44 
[2020-12-13 02:51:46] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:46] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:62 
[2020-12-13 02:51:46] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:46] [INFO   ] Peer: 1006 received the 'request' message from Peer: 1007 for the pieceIndex: 52 
[2020-12-13 02:51:46] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:46] [INFO   ] Peer: 1006 starts connecting to Peer: 1008 
[2020-12-13 02:51:46] [INFO   ] Peer: 1006 is connected from Peer: 1008 
[2020-12-13 02:51:46] [INFO   ] BITFIELD Message construction in progress 
[2020-12-13 02:51:46] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:46] [INFO   ] Peer 1006 is connected from Peer 1008. 
[2020-12-13 02:51:46] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:35 
[2020-12-13 02:51:46] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:46] [INFO   ] Peer 1006 got the 'interested' message from peer:1008 
[2020-12-13 02:51:46] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:53 
[2020-12-13 02:51:46] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:46] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:18 
[2020-12-13 02:51:46] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:46] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:53 
[2020-12-13 02:51:46] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:46] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:52 
[2020-12-13 02:51:46] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:46] [INFO   ] Peer: 1006 received the 'request' message from Peer: 1007 for the pieceIndex: 4 
[2020-12-13 02:51:46] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:46] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:51 
[2020-12-13 02:51:46] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:46] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:61 
[2020-12-13 02:51:46] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:46] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:43 
[2020-12-13 02:51:46] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:46] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:42 
[2020-12-13 02:51:46] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:46] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:50 
[2020-12-13 02:51:46] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:46] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:50 
[2020-12-13 02:51:46] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:46] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:4 
[2020-12-13 02:51:46] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:46] [INFO   ] Peer: 1006 received the 'request' message from Peer: 1007 for the pieceIndex: 27 
[2020-12-13 02:51:46] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:47] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:4 
[2020-12-13 02:51:47] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:47] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:17 
[2020-12-13 02:51:47] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:47] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:60 
[2020-12-13 02:51:47] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:47] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:3 
[2020-12-13 02:51:47] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:47] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:49 
[2020-12-13 02:51:47] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:47] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:17 
[2020-12-13 02:51:47] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:47] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1008 for the piece index:7 
[2020-12-13 02:51:47] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:47] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:16 
[2020-12-13 02:51:47] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:47] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:27 
[2020-12-13 02:51:47] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:47] [INFO   ] Peer: 1006 received the 'request' message from Peer: 1007 for the pieceIndex: 48 
[2020-12-13 02:51:47] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:47] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:25 
[2020-12-13 02:51:47] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1008 for the piece index:39 
[2020-12-13 02:51:47] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:47] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1008 for the piece index:6 
[2020-12-13 02:51:47] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:47] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:47] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:26 
[2020-12-13 02:51:47] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:47] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:48 
[2020-12-13 02:51:47] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:47] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:2 
[2020-12-13 02:51:47] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:47] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:12 
[2020-12-13 02:51:47] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:47] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:1 
[2020-12-13 02:51:47] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:47] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:48 
[2020-12-13 02:51:47] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:47] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:11 
[2020-12-13 02:51:47] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:47] [INFO   ] Peer: 1006 received the 'request' message from Peer: 1007 for the pieceIndex: 34 
[2020-12-13 02:51:47] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:47] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:0 
[2020-12-13 02:51:47] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:47] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:34 
[2020-12-13 02:51:47] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:47] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:34 
[2020-12-13 02:51:47] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:47] [INFO   ] Peer: 1006 received the 'request' message from Peer: 1007 for the pieceIndex: 33 
[2020-12-13 02:51:47] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:47] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:41 
[2020-12-13 02:51:47] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:47] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:11 
[2020-12-13 02:51:47] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:47] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1008 for the piece index:55 
[2020-12-13 02:51:47] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:47] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1008 for the piece index:15 
[2020-12-13 02:51:47] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:48] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1008 for the piece index:14 
[2020-12-13 02:51:48] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:48] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1008 for the piece index:38 
