[2020-12-13 02:51:32] [INFO   ] Peer 1004 starts connecting to Peer:1001 
[2020-12-13 02:51:33] [INFO   ] Peer: 1004 is connected from Peer: 1001 
[2020-12-13 02:51:33] [INFO   ] BITFIELD Message construction in progress 
[2020-12-13 02:51:33] [INFO   ] INTERESTED Message construction in progress 
[2020-12-13 02:51:33] [INFO   ] Peer 1004 makes a connection to Peer 1001. 
[2020-12-13 02:51:33] [INFO   ] Peer 1004 starts connecting to Peer:1002 
[2020-12-13 02:51:33] [INFO   ] Peer 1004 got the 'not interested' message from Peer: 1001 
[2020-12-13 02:51:33] [INFO   ] Peer: 1004 is connected from Peer: 1002 
[2020-12-13 02:51:33] [INFO   ] BITFIELD Message construction in progress 
[2020-12-13 02:51:33] [INFO   ] INTERESTED Message construction in progress 
[2020-12-13 02:51:33] [INFO   ] Peer 1004 makes a connection to Peer 1002. 
[2020-12-13 02:51:33] [INFO   ] Peer 1004 got the 'not interested' message from Peer: 1002 
[2020-12-13 02:51:33] [INFO   ] Peer 1004 starts connecting to Peer:1003 
[2020-12-13 02:51:33] [INFO   ] Peer: 1004 is connected from Peer: 1003 
[2020-12-13 02:51:33] [INFO   ] BITFIELD Message construction in progress 
[2020-12-13 02:51:33] [INFO   ] INTERESTED Message construction in progress 
[2020-12-13 02:51:33] [INFO   ] Peer 1004 makes a connection to Peer 1003. 
[2020-12-13 02:51:33] [INFO   ] Peer 1004 got the 'not interested' message from Peer: 1003 
[2020-12-13 02:51:33] [INFO   ] Socket Opened on port: 1975 
[2020-12-13 02:51:35] [INFO   ] Peer: 1002 unchoked Peer:1004 
[2020-12-13 02:51:35] [INFO   ] REQUEST Message construction in progress 
[2020-12-13 02:51:35] [INFO   ] The piece 7is downloaded by Peer: 1004 from Peer: 1002. The number of pieces with it at this time is : 1 
[2020-12-13 02:51:35] [INFO   ] HAVE message construction in progress 
[2020-12-13 02:51:35] [INFO   ] HAVE message construction in progress 
[2020-12-13 02:51:35] [INFO   ] HAVE message construction in progress 
[2020-12-13 02:51:35] [INFO   ] REQUEST Message construction in progress 
[2020-12-13 02:51:35] [INFO   ] Peer 1004 got the 'not interested' message from Peer: 1001 
[2020-12-13 02:51:35] [INFO   ] Peer 1004 got the 'not interested' message from Peer: 1003 
[2020-12-13 02:51:35] [INFO   ] Peer 1004 got the 'not interested' message from Peer: 1002 
[2020-12-13 02:51:35] [INFO   ] The piece 47is downloaded by Peer: 1004 from Peer: 1002. The number of pieces with it at this time is : 2 
[2020-12-13 02:51:35] [INFO   ] HAVE message construction in progress 
[2020-12-13 02:51:35] [INFO   ] HAVE message construction in progress 
[2020-12-13 02:51:35] [INFO   ] HAVE message construction in progress 
[2020-12-13 02:51:35] [INFO   ] REQUEST Message construction in progress 
[2020-12-13 02:51:35] [INFO   ] Peer 1004 got the 'not interested' message from Peer: 1003 
[2020-12-13 02:51:35] [INFO   ] Peer 1004 got the 'not interested' message from Peer: 1002 
[2020-12-13 02:51:35] [INFO   ] The piece 31is downloaded by Peer: 1004 from Peer: 1002. The number of pieces with it at this time is : 3 
[2020-12-13 02:51:35] [INFO   ] HAVE message construction in progress 
[2020-12-13 02:51:35] [INFO   ] HAVE message construction in progress 
[2020-12-13 02:51:35] [INFO   ] HAVE message construction in progress 
[2020-12-13 02:51:35] [INFO   ] REQUEST Message construction in progress 
[2020-12-13 02:51:35] [INFO   ] Peer 1004 got the 'not interested' message from Peer: 1003 
[2020-12-13 02:51:35] [INFO   ] Peer: 1001 unchoked Peer:1004 
[2020-12-13 02:51:35] [INFO   ] Peer 1004 got the 'not interested' message from Peer: 1002 
[2020-12-13 02:51:35] [INFO   ] REQUEST Message construction in progress 
[2020-12-13 02:51:35] [INFO   ] Peer 1004 got the 'not interested' message from Peer: 1001 
[2020-12-13 02:51:35] [INFO   ] Peer 1004 got the 'not interested' message from Peer: 1001 
[2020-12-13 02:51:35] [INFO   ] The piece 66is downloaded by Peer: 1004 from Peer: 1001. The number of pieces with it at this time is : 1 
[2020-12-13 02:51:35] [INFO   ] HAVE message construction in progress 
[2020-12-13 02:51:35] [INFO   ] HAVE message construction in progress 
[2020-12-13 02:51:35] [INFO   ] HAVE message construction in progress 
[2020-12-13 02:51:35] [INFO   ] Peer 1004 got the 'not interested' message from Peer: 1003 
[2020-12-13 02:51:35] [INFO   ] REQUEST Message construction in progress 
[2020-12-13 02:51:35] [INFO   ] Peer 1004 got the 'not interested' message from Peer: 1001 
[2020-12-13 02:51:35] [INFO   ] The piece 15is downloaded by Peer: 1004 from Peer: 1002. The number of pieces with it at this time is : 4 
[2020-12-13 02:51:35] [INFO   ] The piece 46is downloaded by Peer: 1004 from Peer: 1001. The number of pieces with it at this time is : 2 
[2020-12-13 02:51:35] [INFO   ] HAVE message construction in progress 
[2020-12-13 02:51:35] [INFO   ] HAVE message construction in progress 
[2020-12-13 02:51:35] [INFO   ] HAVE message construction in progress 
[2020-12-13 02:51:35] [INFO   ] HAVE message construction in progress 
[2020-12-13 02:51:35] [INFO   ] HAVE message construction in progress 
[2020-12-13 02:51:35] [INFO   ] REQUEST Message construction in progress 
[2020-12-13 02:51:35] [INFO   ] Peer 1004 got the 'not interested' message from Peer: 1003 
[2020-12-13 02:51:35] [INFO   ] HAVE message construction in progress 
[2020-12-13 02:51:35] [INFO   ] REQUEST Message construction in progress 
[2020-12-13 02:51:35] [INFO   ] Peer 1004 got the 'not interested' message from Peer: 1003 
[2020-12-13 02:51:35] [INFO   ] Peer 1004 got the 'not interested' message from Peer: 1001 
[2020-12-13 02:51:35] [INFO   ] Peer 1004 got the 'not interested' message from Peer: 1001 
[2020-12-13 02:51:35] [INFO   ] Peer 1004 got the 'not interested' message from Peer: 1002 
[2020-12-13 02:51:35] [INFO   ] Peer 1004 got the 'not interested' message from Peer: 1002 
[2020-12-13 02:51:35] [INFO   ] Peer 1004 got the 'not interested' message from Peer: 1002 
[2020-12-13 02:51:35] [INFO   ] The piece 63is downloaded by Peer: 1004 from Peer: 1001. The number of pieces with it at this time is : 3 
[2020-12-13 02:51:35] [INFO   ] The piece 55is downloaded by Peer: 1004 from Peer: 1002. The number of pieces with it at this time is : 5 
[2020-12-13 02:51:35] [INFO   ] HAVE message construction in progress 
