[2020-12-13 02:51:24] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:24] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 53 
[2020-12-13 02:51:25] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:53 
[2020-12-13 02:51:25] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 58 
[2020-12-13 02:51:25] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:58 
[2020-12-13 02:51:25] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 20 
[2020-12-13 02:51:25] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:20 
[2020-12-13 02:51:25] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 46 
[2020-12-13 02:51:25] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:46 
[2020-12-13 02:51:25] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 7 
[2020-12-13 02:51:25] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:7 
[2020-12-13 02:51:25] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 45 
[2020-12-13 02:51:25] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:45 
[2020-12-13 02:51:25] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 36 
[2020-12-13 02:51:25] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:36 
[2020-12-13 02:51:25] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 44 
[2020-12-13 02:51:25] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:44 
[2020-12-13 02:51:25] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 52 
[2020-12-13 02:51:25] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:52 
[2020-12-13 02:51:25] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 43 
[2020-12-13 02:51:25] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:43 
[2020-12-13 02:51:25] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 42 
[2020-12-13 02:51:25] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:42 
[2020-12-13 02:51:25] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 51 
[2020-12-13 02:51:25] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:51 
[2020-12-13 02:51:25] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 13 
